  392     13101      597.33 598.94 591.09 572.58 545.62 539.00 593.09 575.74 599.81 554.13 527.95 583.16 593.96 615.66 585.01 535.91 604.53 578.15 616.46 568.36 533.67 575.21 559.41 589.27 548.13      550.58 589.30 527.92 537.68 484.52 506.73 476.70 542.40 538.44 516.41 501.19 459.98 541.59 516.66 506.81 581.43 534.64 622.55 598.10 581.23
  392     13102      513.39 407.35 337.94 396.44 425.07 418.04 445.93 425.39 430.57 431.21 343.77 413.90 398.14 368.12 374.39 377.46 412.87 389.55 391.74 407.75 416.36 428.73 418.83 432.85 422.14      406.76 419.16 417.91 411.39 414.98 427.63 413.22 477.00 458.09 439.97 413.56 398.92 470.03 437.74 431.33 386.56 375.89 445.59 422.65 397.20
  392     13103      508.17 553.74 499.99 497.87 496.14 480.64 463.91 533.38 512.02 493.48 468.88 445.36 525.58 475.89 484.74 455.20 452.72 511.67 491.88 485.74 481.39 492.99 527.66 517.25 515.78      312.99 462.18 463.66 464.27 409.66 434.26 439.93 428.35 400.78 461.40 398.75 432.22 406.99 410.31 427.25 447.67 467.73 438.24 391.96 465.50
  392     13104      384.27 485.23 381.60 464.80 477.73 461.15 433.05 467.44 416.62 431.90 417.29 381.53 419.22 341.86 364.69 412.46 377.47 425.98 361.26 391.54 466.78 432.67 471.79 432.04 442.72      412.30 390.72 460.71 338.82 387.76 412.19 411.08 442.01 446.66 444.56 384.58 392.74 419.72 419.71 440.04 382.81 355.17 412.49 419.53 415.21
  392     13105      507.92 513.36 486.23 486.39 526.83 494.08 519.67 474.58 500.40 472.05 477.49 476.79 446.78 448.18 438.06 452.23 489.28 432.08 461.20 471.61 503.62 520.43 502.01 490.03 493.42      451.76 482.30 516.05 490.60 522.34 488.62 521.61 407.24 513.38 490.93 484.87 510.14 385.70 486.35 476.14 473.09 516.98 380.84 487.76 505.92
  392     13106      596.70 552.57 582.95 550.71 611.41 582.20 610.82 622.00 602.84 635.76 607.46 647.69 642.24 665.76 632.14 565.11 592.70 613.17 585.68 614.15 567.09 573.29 592.03 595.06 614.82      632.51 631.76 604.97 566.89 578.44 584.77 515.99 616.34 580.33 576.03 548.77 487.93 599.99 573.17 570.07 623.33 559.47 654.48 614.82 660.03
  392     13107      485.83 456.53 453.40 467.26 442.22 480.44 474.21 494.76 440.23 445.77 403.83 414.93 422.69 377.37 373.06 448.32 419.74 471.88 405.37 398.72 480.39 463.76 482.42 450.30 469.38      489.34 427.12 496.71 472.93 468.08 484.93 500.87 448.26 448.20 490.63 465.65 476.36 441.18 456.03 443.39 499.94 525.37 442.57 471.31 489.76
  392     13108      549.80 493.38 490.63 537.73 554.64 545.90 559.80 569.29 550.07 563.08 467.67 528.73 534.16 545.52 540.45 560.44 546.98 548.81 553.10 560.45 521.25 524.31 537.85 509.66 527.20      609.65 491.50 513.23 581.60 489.37 535.43 522.78 515.72 537.17 475.89 497.28 512.77 492.85 528.91 469.19 518.65 518.67 512.92 504.20 462.22
  392     13109      510.23 519.22 519.09 500.95 474.00 488.10 489.07 487.78 499.40 508.98 458.68 480.86 449.52 476.93 468.56 476.84 474.42 452.04 470.76 468.44 523.91 510.64 503.57 517.40 513.33      430.63 433.55 411.98 451.35 413.89 472.24 476.18 467.65 464.34 437.64 455.54 492.36 439.14 436.54 420.49 509.44 530.19 508.40 485.67 497.15
  392     13110      463.75 447.76 492.54 449.00 485.93 429.89 422.08 439.89 436.20 490.61 435.68 420.69 436.02 469.77 491.13 422.70 392.22 433.56 429.11 481.43 488.10 484.74 503.30 488.01 514.64      431.54 432.03 424.76 392.71 443.16 463.59 431.99 402.86 419.08 434.10 437.44 375.18 396.13 397.55 413.05 501.27 431.81 417.55 424.20 467.97
